,nu-sum,,nu-e,,,nu=mu,,,nu-tau,,,,
log Energy (eV),Exposure (cm^2 sr sec),Acceptance (km^2 sr),log Energy (eV),Exposure (cm^2 sr sec),Acceptance (km^2 sr),log Energy (eV),Exposure (cm^2 sr sec),Acceptance (km^2 sr),log Energy (eV),Exposure (cm^2 sr sec),Acceptance (km^2 sr),,
11.73892035,17.63770622,0.207157987,11.77128167,16.5310577,0.016205154,,,,,,,,
11.69456874,17.66533991,0.220767616,11.7268078,16.55564779,0.017149176,,,,,,,,
11.6503847,17.69208378,0.23478981,11.68250195,16.57721419,0.018022277,,,,,,,,
11.60636759,17.7193354,0.249994735,11.63836351,16.60406204,0.019171562,,,,,,,,
11.56251679,17.74616102,0.265923356,11.59439182,16.62393792,0.020069353,,,,,,,,
11.51883167,17.77396463,0.283504587,11.55058626,16.64339869,0.020989116,,,,,,,,
11.47531159,17.80040355,0.301299918,11.50694621,16.66156411,0.021885656,,,,,,,,
11.43195594,17.82829214,0.321282895,11.46347104,16.67930951,0.022798432,,,,,,,,
11.3887641,17.85481188,0.341513078,11.42016013,16.69707381,0.023750309,,,,,,,,
11.34573544,17.88278571,0.364234579,11.37701285,16.71529781,0.024768133,,,,,,,,
11.30286935,17.90985878,0.387662904,11.33402859,16.73486554,0.025909617,,,,,,,,
11.26016521,17.93744585,0.41308679,11.29120673,16.76108471,0.027522011,,,,,,,,
11.21762242,17.96460167,0.439741172,11.24854666,16.78867305,0.029327059,,,,,,,,
11.17524036,17.99227305,0.468671467,11.20604776,16.81630681,0.03125376,,,,,,,,
11.13301843,18.01998706,0.499554092,11.16370944,16.84354188,0.033276477,,,,,,,,
11.09095603,18.04250941,0.526144298,11.12153107,16.86948647,0.03532498,,,,,,,,
11.04748703,18.03693955,0.51943955,11.07951207,16.89725324,0.037657259,,,,,,,,
11.00757793,18.06599933,0.555385828,11.04145075,16.91751476,0.039455743,,,,,,,,
